t,state,dog_x,dog_y,drone_z,wp_idx,wp_total,vel_x,ang_z,dist_to_wp
0.000,INIT,-4.979,-7.006,0.098,0,0,0.000,0.000,0.000
0.000,ARMING,-4.978,-7.006,0.098,0,0,0.000,0.000,0.000
0.000,ARMING,-4.978,-7.005,0.098,0,0,0.000,0.000,0.000
0.100,CLIMBING,-4.979,-7.005,0.098,0,0,0.000,0.000,0.000
0.202,CLIMBING,-4.979,-7.005,0.114,0,0,0.000,0.000,0.000
0.300,CENTERING,-4.979,-7.005,0.133,0,0,0.000,0.000,0.000
0.403,CENTERING,-4.979,-7.004,0.195,0,0,0.000,0.000,0.000
0.500,CENTERING,-4.979,-7.004,0.278,0,0,0.000,0.000,0.000
0.600,CENTERING,-4.979,-7.005,0.324,0,0,0.000,0.000,0.000
0.700,CENTERING,-4.979,-7.005,0.422,0,0,0.000,0.000,0.000
0.800,CENTERING,-4.979,-7.005,0.526,0,0,0.000,0.000,0.000
0.900,CENTERING,-4.979,-7.004,0.632,0,0,0.000,0.000,0.000
1.000,CENTERING,-4.979,-7.004,0.650,0,0,0.000,0.000,0.000
1.100,CENTERING,-4.979,-7.005,0.705,0,0,0.000,0.000,0.000
1.200,CENTERING,-4.979,-7.005,0.784,0,0,0.000,0.000,0.000
1.300,CENTERING,-4.979,-7.005,0.829,0,0,0.000,0.000,0.000
1.400,CENTERING,-4.979,-7.005,0.926,0,0,0.000,0.000,0.000
1.500,CENTERING,-4.979,-7.004,1.028,0,0,0.000,0.000,0.000
1.600,CENTERING,-4.979,-7.004,1.081,0,0,0.000,0.000,0.000
1.702,CENTERING,-4.979,-7.004,1.187,0,0,0.000,0.000,0.000
1.800,CENTERING,-4.979,-7.004,1.296,0,0,0.000,0.000,0.000
1.900,CENTERING,-4.978,-7.004,1.405,0,0,0.000,0.000,0.000
2.000,CENTERING,-4.978,-7.004,1.459,0,0,0.000,0.000,0.000
2.100,CENTERING,-4.978,-7.004,1.569,0,0,0.000,0.000,0.000
2.200,CENTERING,-4.978,-7.004,1.678,0,0,0.000,0.000,0.000
2.300,CENTERING,-4.978,-7.004,1.733,0,0,0.000,0.000,0.000
2.400,CENTERING,-4.977,-7.003,1.843,0,0,0.000,0.000,0.000
2.501,CENTERING,-4.977,-7.003,1.953,0,0,0.000,0.000,0.000
2.600,CENTERING,-4.977,-7.003,2.008,0,0,0.000,0.000,0.000
2.700,CENTERING,-4.977,-7.003,2.118,0,0,0.000,0.000,0.000
2.800,CENTERING,-4.976,-7.003,2.227,0,0,0.000,0.000,0.000
2.900,CENTERING,-4.976,-7.003,2.282,0,0,0.000,0.000,0.000
3.000,CENTERING,-4.976,-7.003,2.392,0,0,0.000,0.000,0.000
3.100,CENTERING,-4.976,-7.003,2.502,0,0,0.000,0.000,0.000
3.200,CENTERING,-4.976,-7.003,2.557,0,0,0.000,0.000,0.000
3.301,CENTERING,-4.975,-7.003,2.667,0,0,0.000,0.000,0.000
3.400,CENTERING,-4.975,-7.004,2.777,0,0,0.000,0.000,0.000
3.500,CENTERING,-4.975,-7.004,2.887,0,0,0.000,0.000,0.000
3.600,CENTERING,-4.975,-7.004,2.942,0,0,0.000,0.000,0.000
3.700,CENTERING,-4.975,-7.004,3.052,0,0,0.000,0.000,0.000
3.801,CENTERING,-4.976,-7.004,3.162,0,0,0.000,0.000,0.000
3.900,CENTERING,-4.976,-7.004,3.217,0,0,0.000,0.000,0.000
4.000,CENTERING,-4.976,-7.005,3.326,0,0,0.000,0.000,0.000
4.100,CENTERING,-4.976,-7.005,3.436,0,0,0.000,0.000,0.000
4.200,CENTERING,-4.976,-7.005,3.546,0,0,0.000,0.000,0.000
4.301,CENTERING,-4.977,-7.005,3.601,0,0,0.000,0.000,0.000
4.400,CENTERING,-4.977,-7.005,3.711,0,0,0.000,0.000,0.000
4.500,CENTERING,-4.977,-7.005,3.821,0,0,0.000,0.000,0.000
4.600,CENTERING,-4.978,-7.005,3.876,0,0,0.000,0.000,0.000
4.700,CENTERING,-4.978,-7.004,3.986,0,0,0.000,0.000,0.000
4.800,CENTERING,-4.978,-7.004,4.096,0,0,0.000,0.000,0.000
4.900,CENTERING,-4.978,-7.004,4.151,0,0,0.000,0.000,0.000
5.000,CENTERING,-4.978,-7.004,4.261,0,0,0.000,0.000,0.000
5.102,CENTERING,-4.978,-7.004,4.370,0,0,0.000,0.000,0.000
5.200,CENTERING,-4.978,-7.004,4.425,0,0,0.000,0.000,0.000
5.300,CENTERING,-4.978,-7.004,4.535,0,0,0.000,0.000,0.000
5.402,CENTERING,-4.979,-7.003,4.645,0,0,0.000,0.000,0.000
5.500,CENTERING,-4.979,-7.003,4.700,0,0,0.000,0.000,0.000
5.600,CENTERING,-4.979,-7.003,4.810,0,0,0.000,0.000,0.000
5.700,CENTERING,-4.979,-7.003,4.920,0,0,0.000,0.000,0.000
5.800,CENTERING,-4.978,-7.003,4.975,0,0,0.000,0.000,0.000
5.900,CENTERING,-4.978,-7.003,5.085,0,0,0.000,0.000,0.000
6.000,CENTERING,-4.978,-7.003,5.140,0,0,0.000,0.000,0.000
6.101,CENTERING,-4.978,-7.003,5.250,0,0,0.000,0.000,0.000
6.200,CENTERING,-4.977,-7.003,5.360,0,0,0.000,0.000,0.000
6.300,CENTERING,-4.977,-7.003,5.469,0,0,0.000,0.000,0.000
6.400,CENTERING,-4.977,-7.003,5.524,0,0,0.000,0.000,0.000
6.500,CENTERING,-4.977,-7.003,5.634,0,0,0.000,0.000,0.000
