t,step,drone_x,drone_y,drone_z,dog0_x,dog0_y,dog0_z,dog1_x,dog1_y,dog1_z,target_x,target_y,target_z
0.0506,1,0.0000,0.0000,2.4938,1.2582,-0.0026,0.4165,-1.2540,-0.0095,0.4174,0.0506,0.0000,3.0000
0.0998,2,0.0000,0.0000,2.4787,1.2583,-0.0026,0.4165,-1.2542,-0.0096,0.4174,0.0998,0.0000,3.0000
0.1498,3,0.0000,0.0000,2.4787,1.2583,-0.0026,0.4165,-1.2542,-0.0096,0.4174,0.1498,0.0000,3.0000
0.1998,4,0.0005,0.0000,2.4616,1.2585,-0.0026,0.4165,-1.2544,-0.0097,0.4175,0.1998,0.0000,3.0000
0.2497,5,0.0005,0.0000,2.4616,1.2585,-0.0026,0.4165,-1.2544,-0.0097,0.4175,0.2497,0.0000,3.0000
0.2998,6,0.0025,0.0000,2.4525,1.2586,-0.0016,0.4171,-1.2536,-0.0099,0.4166,0.2998,0.0000,3.0000
0.3498,7,0.0066,0.0000,2.4513,1.2579,0.0005,0.4177,-1.2516,-0.0106,0.4148,0.3498,0.0000,3.0000
0.3998,8,0.0066,0.0000,2.4513,1.2579,0.0005,0.4177,-1.2516,-0.0106,0.4148,0.3998,0.0000,3.0000
0.4497,9,0.0135,0.0000,2.4581,1.2562,0.0034,0.4161,-1.2483,-0.0115,0.4127,0.4497,0.0000,3.0000
0.4997,10,0.0135,0.0000,2.4581,1.2562,0.0034,0.4161,-1.2483,-0.0115,0.4127,0.4997,0.0000,3.0000
0.5516,11,0.0231,0.0000,2.4725,1.2538,0.0068,0.4123,-1.2435,-0.0124,0.4117,0.5516,0.0000,3.0000
0.5997,12,0.0231,0.0000,2.4725,1.2538,0.0068,0.4123,-1.2435,-0.0124,0.4117,0.5997,0.0000,3.0000
0.6497,13,0.0356,0.0000,2.4930,1.2510,0.0100,0.4050,-1.2375,-0.0132,0.4106,0.6497,0.0000,3.0000
0.6997,14,0.0509,0.0000,2.5177,1.2485,0.0128,0.3940,-1.2305,-0.0140,0.4088,0.6997,0.0000,3.0000
0.7507,15,0.0509,0.0000,2.5177,1.2485,0.0128,0.3940,-1.2305,-0.0140,0.4088,0.7507,0.0000,3.0000
0.7998,16,0.0690,0.0000,2.5452,1.2464,0.0155,0.3807,-1.2224,-0.0147,0.4068,0.7998,0.0000,3.0000
0.8505,17,0.0900,0.0000,2.5743,1.2449,0.0174,0.3689,-1.2137,-0.0151,0.4043,0.8505,0.0000,3.0000
0.8998,18,0.0900,0.0000,2.5743,1.2449,0.0174,0.3689,-1.2137,-0.0151,0.4043,0.8998,0.0000,3.0000
0.9498,19,0.1139,0.0000,2.6041,1.2431,0.0187,0.3585,-1.2044,-0.0152,0.4015,0.9498,0.0000,3.0000
0.9998,20,0.1139,0.0000,2.6041,1.2431,0.0187,0.3585,-1.2044,-0.0152,0.4015,0.9998,0.0000,3.0000
1.0497,21,0.1406,0.0000,2.6338,1.2408,0.0194,0.3494,-1.1945,-0.0149,0.3984,1.0497,0.0000,3.0000
1.0997,22,0.1698,0.0000,2.6631,1.2380,0.0198,0.3413,-1.1843,-0.0142,0.3951,1.0997,0.0000,3.0000
1.1497,23,0.1698,0.0000,2.6631,1.2380,0.0198,0.3413,-1.1843,-0.0142,0.3951,1.1497,0.0000,3.0000
1.1998,24,0.2014,0.0000,2.6913,1.2347,0.0202,0.3344,-1.1735,-0.0134,0.3917,1.1998,0.0000,3.0000
1.2497,25,0.2357,0.0000,2.7184,1.2316,0.0212,0.3296,-1.1626,-0.0128,0.3882,1.2497,0.0000,3.0000
1.2997,26,0.2357,0.0000,2.7184,1.2316,0.0212,0.3296,-1.1626,-0.0128,0.3882,1.2997,0.0000,3.0000
1.3497,27,0.2723,0.0000,2.7442,1.2290,0.0218,0.3258,-1.1515,-0.0124,0.3846,1.3497,0.0000,3.0000
1.3997,28,0.2723,0.0000,2.7442,1.2290,0.0218,0.3258,-1.1515,-0.0124,0.3846,1.3997,0.0000,3.0000
1.4497,29,0.3115,0.0000,2.7684,1.2265,0.0219,0.3229,-1.1400,-0.0127,0.3806,1.4497,0.0000,3.0000
1.4998,30,0.3115,0.0000,2.7684,1.2265,0.0219,0.3229,-1.1400,-0.0127,0.3806,1.4998,0.0000,3.0000
1.5497,31,0.3533,0.0000,2.7910,1.2237,0.0230,0.3211,-1.1278,-0.0134,0.3763,1.5497,0.0000,3.0000
1.5997,32,0.3974,0.0000,2.8121,1.2213,0.0245,0.3199,-1.1145,-0.0146,0.3717,1.5997,0.0000,3.0000
1.6497,33,0.3974,0.0000,2.8121,1.2213,0.0245,0.3199,-1.1145,-0.0146,0.3717,1.6497,0.0000,3.0000
1.6997,34,0.4436,0.0000,2.8317,1.2198,0.0255,0.3194,-1.1002,-0.0163,0.3680,1.6997,0.0000,3.0000
1.7498,35,0.4917,0.0000,2.8497,1.2190,0.0260,0.3179,-1.0855,-0.0184,0.3664,1.7498,0.0000,3.0000
1.7998,36,0.4917,0.0000,2.8497,1.2190,0.0260,0.3179,-1.0855,-0.0184,0.3664,1.7998,0.0000,3.0000
1.8498,37,0.5416,0.0000,2.8663,1.2187,0.0262,0.3154,-1.0703,-0.0205,0.3650,1.8498,0.0000,3.0000
1.8997,38,0.5416,0.0000,2.8663,1.2187,0.0262,0.3154,-1.0703,-0.0205,0.3650,1.8997,0.0000,3.0000
1.9498,39,0.5930,0.0000,2.8814,1.2185,0.0261,0.3124,-1.0548,-0.0226,0.3636,1.9498,0.0000,3.0000
1.9997,40,0.6463,0.0000,2.8953,1.2185,0.0258,0.3093,-1.0392,-0.0247,0.3626,1.9997,0.0000,3.0000
2.0499,41,0.6463,0.0000,2.8953,1.2185,0.0258,0.3093,-1.0392,-0.0247,0.3626,2.0499,0.0000,3.0000
2.0998,42,0.7011,0.0000,2.9079,1.2187,0.0257,0.3062,-1.0234,-0.0265,0.3619,2.0998,0.0000,3.0000
2.1497,43,0.7573,0.0000,2.9194,1.2193,0.0256,0.3034,-1.0067,-0.0284,0.3610,2.1497,0.0000,3.0000
2.1997,44,0.7573,0.0000,2.9194,1.2193,0.0256,0.3034,-1.0067,-0.0284,0.3610,2.1997,0.0000,3.0000
2.2497,45,0.8149,0.0000,2.9298,1.2207,0.0252,0.3009,-0.9887,-0.0303,0.3596,2.2497,0.0000,3.0000
2.2997,46,0.8737,0.0000,2.9392,1.2233,0.0244,0.2993,-0.9696,-0.0323,0.3590,2.2997,0.0000,3.0000
2.3497,47,0.8737,0.0000,2.9392,1.2233,0.0244,0.2993,-0.9696,-0.0323,0.3590,2.3497,0.0000,3.0000
2.3998,48,0.9335,0.0000,2.9477,1.2271,0.0233,0.2981,-0.9494,-0.0344,0.3602,2.3998,0.0000,3.0000
2.4496,49,0.9335,0.0000,2.9477,1.2321,0.0224,0.2980,-0.9494,-0.0344,0.3602,2.4496,0.0000,3.0000
