t,step,drone_x,drone_y,drone_z,dog0_x,dog0_y,dog0_z,dog1_x,dog1_y,dog1_z,target_x,target_y,target_z
0.0506,1,0.0000,0.0000,2.4893,1.2521,0.0005,0.4553,-1.2478,0.0005,0.4554,0.0202,0.0000,3.0000
0.0996,2,0.0000,0.0000,2.4893,1.2521,0.0005,0.4553,-1.2478,0.0005,0.4554,0.0399,0.0000,3.0000
0.1496,3,0.0001,0.0000,2.4816,1.2513,0.0006,0.4579,-1.2487,0.0006,0.4580,0.0598,0.0000,3.0000
0.1996,4,0.0001,0.0000,2.4816,1.2513,0.0006,0.4579,-1.2487,0.0006,0.4580,0.0798,0.0000,3.0000
0.2495,5,0.0006,0.0000,2.4818,1.2504,0.0013,0.4568,-1.2493,0.0007,0.4560,0.0998,0.0000,3.0000
0.3004,6,0.0018,0.0000,2.4900,1.2493,0.0021,0.4508,-1.2493,0.0006,0.4491,0.1202,0.0000,3.0000
0.3496,7,0.0018,0.0000,2.4900,1.2493,0.0021,0.4508,-1.2493,0.0006,0.4491,0.1398,0.0000,3.0000
0.3996,8,0.0039,0.0000,2.5054,1.2474,0.0029,0.4400,-1.2497,0.0005,0.4382,0.1598,0.0000,3.0000
0.4496,9,0.0039,0.0000,2.5054,1.2474,0.0029,0.4400,-1.2497,0.0005,0.4382,0.1798,0.0000,3.0000
0.4996,10,0.0070,0.0000,2.5260,1.2451,0.0035,0.4252,-1.2503,0.0003,0.4252,0.1998,0.0000,3.0000
0.5495,11,0.0070,0.0000,2.5260,1.2451,0.0035,0.4252,-1.2503,0.0003,0.4252,0.2198,0.0000,3.0000
0.5995,12,0.0112,0.0000,2.5503,1.2429,0.0037,0.4074,-1.2505,-0.0004,0.4121,0.2398,0.0000,3.0000
0.6495,13,0.0166,0.0000,2.5769,1.2399,0.0026,0.3882,-1.2498,-0.0011,0.4004,0.2598,0.0000,3.0000
0.6995,14,0.0166,0.0000,2.5769,1.2399,0.0026,0.3882,-1.2498,-0.0011,0.4004,0.2798,0.0000,3.0000
0.7495,15,0.0232,0.0000,2.6047,1.2361,0.0001,0.3684,-1.2486,-0.0013,0.3893,0.2998,0.0000,3.0000
0.7995,16,0.0232,0.0000,2.6047,1.2361,0.0001,0.3684,-1.2486,-0.0013,0.3893,0.3198,0.0000,3.0000
0.8495,17,0.0310,0.0000,2.6329,1.2315,-0.0036,0.3485,-1.2454,-0.0018,0.3814,0.3398,0.0000,3.0000
0.8995,18,0.0310,0.0000,2.6329,1.2315,-0.0036,0.3485,-1.2454,-0.0018,0.3814,0.3598,0.0000,3.0000
0.9495,19,0.0401,0.0000,2.6611,1.2256,-0.0088,0.3295,-1.2397,-0.0027,0.3789,0.3798,0.0000,3.0000
0.9995,20,0.0504,0.0000,2.6885,1.2185,-0.0133,0.3145,-1.2327,-0.0033,0.3786,0.3998,0.0000,3.0000
1.0496,21,0.0504,0.0000,2.6885,1.2185,-0.0133,0.3145,-1.2327,-0.0033,0.3786,0.4198,0.0000,3.0000
1.0996,22,0.0619,0.0000,2.7151,1.2093,-0.0152,0.3072,-1.2252,-0.0035,0.3786,0.4398,0.0000,3.0000
1.1496,23,0.0619,0.0000,2.7151,1.2093,-0.0152,0.3072,-1.2252,-0.0035,0.3786,0.4598,0.0000,3.0000
1.1995,24,0.0744,0.0000,2.7404,1.1997,-0.0146,0.3054,-1.2178,-0.0036,0.3781,0.4798,0.0000,3.0000
1.2495,25,0.0880,0.0000,2.7644,1.1901,-0.0121,0.3068,-1.2107,-0.0042,0.3761,0.4998,0.0000,3.0000
1.2995,26,0.0880,0.0000,2.7644,1.1901,-0.0121,0.3068,-1.2107,-0.0042,0.3761,0.5198,0.0000,3.0000
1.3495,27,0.1026,0.0000,2.7870,1.1806,-0.0088,0.3090,-1.2034,-0.0053,0.3735,0.5398,0.0000,3.0000
1.3994,28,0.1181,0.0000,2.8081,1.1716,-0.0049,0.3108,-1.1949,-0.0067,0.3703,0.5598,0.0000,3.0000
1.4496,29,0.1181,0.0000,2.8081,1.1716,-0.0049,0.3108,-1.1949,-0.0067,0.3703,0.5798,0.0000,3.0000
1.4998,30,0.1346,0.0000,2.8277,1.1627,-0.0008,0.3114,-1.1857,-0.0088,0.3689,0.5999,0.0000,3.0000
1.5495,31,0.1346,0.0000,2.8277,1.1627,-0.0008,0.3114,-1.1857,-0.0088,0.3689,0.6198,0.0000,3.0000
1.5996,32,0.1519,0.0000,2.8458,1.1541,0.0040,0.3106,-1.1762,-0.0111,0.3687,0.6398,0.0000,3.0000
1.6495,33,0.1519,0.0000,2.8458,1.1541,0.0040,0.3106,-1.1762,-0.0111,0.3687,0.6598,0.0000,3.0000
1.6995,34,0.1701,0.0000,2.8625,1.1463,0.0095,0.3080,-1.1664,-0.0133,0.3684,0.6798,0.0000,3.0000
1.7496,35,0.1701,0.0000,2.8625,1.1463,0.0095,0.3080,-1.1664,-0.0133,0.3684,0.6998,0.0000,3.0000
1.7995,36,0.1892,0.0000,2.8779,1.1393,0.0156,0.3040,-1.1562,-0.0154,0.3683,0.7198,0.0000,3.0000
1.8495,37,0.2092,0.0000,2.8919,1.1330,0.0224,0.2986,-1.1458,-0.0175,0.3685,0.7398,0.0000,3.0000
1.8996,38,0.2092,0.0000,2.8919,1.1330,0.0224,0.2986,-1.1458,-0.0175,0.3685,0.7599,0.0000,3.0000
1.9496,39,0.2300,0.0000,2.9047,1.1277,0.0308,0.2952,-1.1348,-0.0194,0.3687,0.7798,0.0000,3.0000
1.9996,40,0.2300,0.0000,2.9047,1.1277,0.0308,0.2952,-1.1348,-0.0194,0.3687,0.7998,0.0000,3.0000
2.0495,41,0.2516,0.0000,2.9164,1.1232,0.0391,0.2908,-1.1230,-0.0214,0.3689,0.8198,0.0000,3.0000
2.0996,42,0.2738,0.0000,2.9270,1.1198,0.0476,0.2856,-1.1102,-0.0235,0.3694,0.8398,0.0000,3.0000
2.1496,43,0.2738,0.0000,2.9270,1.1198,0.0476,0.2856,-1.1102,-0.0235,0.3694,0.8598,0.0000,3.0000
2.1997,44,0.2966,0.0000,2.9366,1.1175,0.0563,0.2790,-1.0965,-0.0255,0.3711,0.8799,0.0000,3.0000
2.2495,45,0.3199,0.0000,2.9452,1.1163,0.0652,0.2710,-1.0818,-0.0277,0.3738,0.8998,0.0000,3.0000
